Sample_ID,Temperature,DO,pH,Turbidity,BOD,Conductivity,Ammonia,Nitrate,Hardness,COD,CO2,Alkalinity,Activity_Level,No_of_Disease_Occurrences,Disease_Risk,Status
60,28.01,7.04,7.91,2.23,2.41,343.1,0.0,34.18,116.7,22.24,8.01,110.3,0.888,0,0.069,Healthy
61,30.29,7.26,7.44,3.4,5.12,520.7,0.031,26.35,93.8,27.35,4.64,83.9,0.821,0,0.088,Healthy
62,28.98,7.7,7.54,2.79,3.06,524.3,0.021,41.05,141.1,20.47,5.01,119.5,0.699,0,0.082,Healthy
63,29.08,5.89,7.35,5.49,1.74,488.2,0.061,33.06,70.0,8.83,4.72,117.2,0.705,0,0.162,Healthy
64,30.01,6.88,7.6,3.26,3.38,386.9,0.031,12.67,112.7,19.88,6.26,104.1,0.692,0,0.104,Healthy
65,30.28,7.87,7.61,3.44,4.96,552.2,0.016,33.93,141.8,21.67,6.18,98.7,0.431,0,0.113,Healthy
66,27.57,5.58,7.79,1.98,5.27,501.5,0.03,34.49,116.3,16.42,5.74,109.8,0.941,0,0.088,Healthy
67,28.96,6.5,7.41,4.67,2.99,433.7,0.027,29.39,126.3,19.06,6.36,127.1,0.878,0,0.09,Healthy
68,25.54,5.62,7.86,3.28,4.39,489.2,0.023,18.94,83.3,20.96,5.28,105.8,0.788,0,0.111,Healthy
69,28.02,6.26,8.01,4.65,5.1,439.8,0.01,9.72,93.4,26.3,7.1,99.0,0.693,0,0.129,Healthy
70,27.17,6.9,7.06,4.04,5.13,442.2,0.049,26.42,110.1,31.95,2.95,127.1,0.73,0,0.162,Healthy
71,27.0,6.5,7.4,4.4,5.07,391.1,0.034,23.62,92.9,10.75,7.5,121.3,0.614,0,0.123,Healthy
72,30.61,5.96,7.45,3.31,2.93,523.7,0.029,3.87,59.2,14.91,3.4,125.2,0.861,0,0.08,Healthy
73,30.09,6.74,7.19,3.86,3.27,367.1,0.033,30.11,126.7,5.0,4.78,97.1,0.829,0,0.118,Healthy
74,30.04,7.67,7.48,23.1,2.2,407.3,0.054,30.76,125.7,20.76,1.2,78.5,0.703,0,0.272,Healthy
75,30.5,6.26,7.56,15.95,4.16,424.1,0.035,33.17,115.4,21.74,3.57,95.1,0.683,0,0.201,Healthy
76,28.25,5.7,7.36,16.63,2.87,428.7,0.026,26.8,49.0,20.02,7.4,129.5,0.638,0,0.208,Healthy
77,28.07,6.65,7.7,24.21,4.49,455.7,0.042,22.98,64.6,23.89,3.36,85.2,0.693,0,0.285,Healthy
78,27.62,5.15,7.31,33.66,3.31,455.5,0.024,15.29,93.1,21.76,4.12,90.8,0.537,0,0.348,Healthy
79,27.91,6.13,7.17,23.88,5.02,524.5,0.02,17.97,93.1,10.28,3.83,91.6,0.641,0,0.273,Healthy
80,29.33,6.93,7.42,11.87,5.57,441.7,0.042,14.97,89.7,23.24,3.95,111.8,0.566,0,0.193,Healthy
81,29.08,5.55,7.51,41.71,4.07,440.9,0.047,32.92,67.5,18.0,6.6,76.7,0.661,0,0.406,Healthy
82,27.26,6.17,7.78,20.9,2.8,395.6,0.038,31.12,95.4,16.49,5.62,98.5,0.839,0,0.248,Healthy
83,30.23,7.44,7.41,3.54,4.85,418.5,0.0,29.56,133.3,10.37,1.7,102.2,0.751,0,0.061,Healthy
84,29.65,6.25,7.5,1.71,4.59,422.7,0.044,27.73,101.6,14.7,9.11,103.3,0.947,0,0.073,Healthy
85,30.52,7.76,7.57,2.76,2.98,398.9,0.036,28.84,77.7,14.85,6.81,100.3,0.53,0,0.119,Healthy
86,31.74,6.8,7.35,2.15,3.83,414.6,0.028,44.45,75.4,37.07,7.8,116.3,0.682,0,0.097,Healthy
87,27.5,5.25,7.64,2.87,4.45,507.8,0.035,26.11,91.8,19.53,6.85,85.4,0.787,0,0.101,Healthy
88,30.28,5.78,7.45,4.16,3.8,514.9,0.046,25.07,96.5,16.49,6.12,117.4,0.588,0,0.135,Healthy
89,28.8,7.02,7.55,3.12,4.76,390.0,0.028,27.12,81.6,34.01,2.07,103.0,0.844,0,0.079,Healthy
90,30.37,7.2,7.37,4.12,5.85,622.6,0.032,31.31,39.3,12.39,9.14,109.7,1.0,0,0.083,Healthy
91,29.28,6.71,8.24,3.41,4.49,521.0,0.037,24.27,98.4,13.07,4.25,103.2,1.0,0,0.146,Healthy
92,32.25,7.26,6.84,2.62,4.1,424.2,0.026,32.43,98.9,14.12,7.16,78.6,0.952,0,0.123,Healthy
93,28.83,6.62,7.41,3.48,4.99,310.3,0.023,25.27,116.0,27.48,7.49,123.8,0.764,0,0.088,Healthy
94,32.01,5.08,7.38,3.06,4.72,452.0,0.03,34.53,80.5,24.15,8.35,78.9,0.596,0,0.113,Healthy
95,29.04,6.97,7.54,3.28,4.6,454.1,0.033,22.31,118.9,20.98,4.86,115.5,0.93,0,0.077,Healthy
96,30.19,6.57,7.92,2.36,2.58,463.5,0.038,31.2,64.3,21.91,4.39,126.2,0.605,0,0.146,Healthy
97,29.18,7.02,7.71,2.57,6.51,444.3,0.021,15.22,102.6,20.59,7.2,123.2,0.545,0,0.112,Healthy
98,27.88,6.44,7.33,0.1,3.66,478.4,0.014,16.58,68.8,21.76,8.73,109.5,0.788,0,0.056,Healthy
99,29.88,7.14,7.62,5.1,3.55,591.0,0.023,28.81,61.0,21.58,5.41,99.9,0.787,0,0.1,Healthy
100,29.23,6.61,7.74,3.1,4.32,584.7,0.054,37.08,68.6,20.87,5.83,111.5,0.875,0,0.127,Healthy
101,26.65,6.1,7.63,4.8,2.73,449.5,0.009,25.81,125.4,6.59,7.55,121.9,0.687,0,0.091,Healthy
102,28.16,6.4,7.47,1.32,5.68,426.1,0.073,15.23,80.6,18.28,8.13,103.6,0.803,0,0.124,Healthy
103,28.95,6.83,7.51,4.33,5.89,397.9,0.057,23.37,58.8,11.3,10.95,122.3,0.763,0,0.128,Healthy
104,27.61,6.98,7.44,1.65,4.89,532.8,0.061,23.73,90.8,18.56,4.05,88.2,0.666,0,0.128,Healthy
105,28.28,8.21,7.53,4.47,2.83,434.6,0.036,21.74,92.4,6.62,6.82,61.8,0.592,0,0.122,Healthy
106,28.95,7.25,7.58,4.79,4.11,466.1,0.023,28.8,62.9,26.92,5.46,67.9,0.599,0,0.112,Healthy
107,30.64,5.75,7.45,2.4,3.13,409.8,0.047,29.61,112.1,28.63,4.91,83.3,0.71,0,0.111,Healthy
108,30.47,6.4,7.69,1.87,3.96,422.2,0.027,23.35,91.6,18.69,8.58,80.7,0.681,0,0.099,Healthy
109,28.12,6.66,7.39,2.54,3.41,426.6,0.039,7.46,102.0,18.6,4.43,85.2,0.591,0,0.121,Healthy
110,31.37,6.64,7.76,1.04,4.63,440.1,0.029,25.51,43.4,9.22,6.06,107.7,0.747,0,0.095,Healthy
111,28.21,6.24,7.89,2.79,4.81,429.1,0.045,10.2,139.0,19.76,2.62,94.1,0.754,0,0.141,Healthy
112,29.69,5.22,7.82,4.97,3.44,383.6,0.015,29.42,96.3,9.31,8.3,73.6,0.679,0,0.12,Healthy
113,30.39,5.47,7.57,2.61,4.02,460.7,0.035,39.4,81.2,23.14,5.93,125.2,0.969,0,0.073,Healthy
114,26.65,7.7,7.28,3.27,3.41,373.3,0.016,25.3,76.0,14.47,5.84,77.4,0.754,0,0.092,Healthy
115,27.47,7.02,7.63,5.13,2.64,535.7,0.035,20.4,155.4,11.46,3.28,107.7,0.456,0,0.149,Healthy
116,28.4,6.24,7.5,0.33,4.81,432.8,0.026,12.77,134.1,7.5,5.44,86.1,0.737,0,0.061,Healthy
117,29.33,7.26,7.09,4.67,4.49,388.8,0.076,12.52,79.4,18.67,6.52,119.3,0.735,0,0.198,Healthy
118,28.71,6.71,7.85,5.13,4.4,409.8,0.052,27.69,80.1,35.24,10.08,92.5,0.683,0,0.17,Healthy
119,30.0,6.63,7.94,1.81,4.77,527.2,0.014,0.0,122.5,26.98,2.77,124.6,0.573,0,0.117,Healthy
120,26.53,6.04,7.66,0.73,6.0,532.5,0.03,15.07,104.6,21.52,4.86,82.0,1.0,0,0.058,Healthy
121,25.62,6.78,7.39,3.26,4.52,325.1,0.043,19.79,69.9,24.54,4.25,111.4,0.709,0,0.118,Healthy
122,27.25,7.39,7.7,2.71,3.24,401.1,0.028,25.61,122.7,26.92,8.97,48.4,0.85,0,0.09,Healthy
123,29.53,7.45,7.73,1.89,5.17,311.8,0.042,16.03,119.0,22.17,4.26,119.1,0.838,0,0.107,Healthy
124,30.05,7.35,6.94,2.98,2.79,490.0,0.007,40.53,138.4,17.08,8.29,98.7,0.724,0,0.115,Healthy
125,28.59,6.91,7.06,2.01,3.6,424.7,0.0,15.12,84.7,22.25,5.59,114.7,0.588,0,0.101,Healthy
126,28.79,5.75,7.28,2.47,3.67,439.3,0.031,22.04,101.2,27.02,9.96,73.8,0.833,0,0.096,Healthy
127,29.16,6.06,7.67,3.35,4.6,488.2,0.018,22.07,107.8,19.43,9.73,84.0,0.663,0,0.098,Healthy
128,28.09,5.07,7.51,27.53,7.89,522.8,0.138,27.78,148.5,28.06,8.58,78.3,0.471,0,0.433,Healthy
129,28.37,5.86,7.52,24.37,13.91,337.9,0.315,31.3,72.8,51.94,3.62,123.4,0.52,4,0.627,Unhealthy
130,28.97,4.21,7.49,26.56,14.87,407.2,0.13,24.12,108.6,34.4,6.73,94.8,0.273,0,0.435,Healthy
131,27.16,3.86,7.73,9.24,11.61,406.7,0.118,21.94,149.4,44.85,8.32,74.8,0.16,0,0.324,Healthy
132,26.3,4.24,7.62,16.76,15.76,382.1,0.15,14.14,83.6,31.66,3.78,82.8,0.4,0,0.386,Healthy
133,31.45,1.5,7.28,23.42,9.97,508.6,0.835,19.46,115.0,17.86,5.62,108.8,0.258,1,1.0,Unhealthy
134,30.48,3.19,7.62,29.08,15.03,405.3,0.41,47.11,138.0,26.76,4.5,80.8,0.213,1,0.821,Unhealthy
135,29.69,5.47,7.46,23.14,6.94,430.8,0.727,22.33,50.4,45.42,5.13,59.0,0.329,1,1.0,Unhealthy
136,29.83,4.12,7.85,28.33,6.12,534.7,0.671,12.6,71.6,12.97,6.34,100.5,0.286,3,1.0,Unhealthy
137,30.96,2.61,7.88,15.71,13.54,423.7,0.774,26.4,77.8,44.47,5.3,88.4,0.471,4,1.0,Unhealthy
138,28.34,6.81,7.21,2.65,2.77,510.1,0.054,26.35,124.0,22.46,5.79,86.6,0.781,0,0.139,Healthy
139,28.55,5.13,7.61,2.0,4.42,518.5,0.006,40.4,102.8,24.84,6.98,105.9,0.942,0,0.039,Healthy
140,29.75,5.69,7.85,2.67,5.41,532.3,0.043,25.97,91.8,12.86,7.58,99.8,0.711,0,0.138,Healthy
141,27.76,6.54,7.37,3.99,4.92,436.9,0.028,38.11,67.9,13.59,5.34,84.9,0.632,0,0.115,Healthy
142,30.98,6.9,7.7,4.35,3.82,555.7,0.025,27.27,141.7,28.64,9.43,74.9,0.695,0,0.115,Healthy
143,29.76,6.07,7.56,3.59,4.59,377.5,0.012,18.43,111.1,26.95,3.66,83.6,0.628,0,0.085,Healthy
144,28.02,6.09,7.69,3.91,5.02,464.1,0.051,34.23,102.2,24.35,3.78,71.9,0.669,0,0.145,Healthy
145,29.28,7.08,7.82,2.47,4.87,242.1,0.021,25.82,88.2,19.87,1.47,125.5,0.699,0,0.106,Healthy
146,28.41,6.85,7.83,4.54,4.37,460.3,0.034,42.33,93.6,13.82,9.5,129.4,0.666,0,0.142,Healthy
147,28.59,2.92,7.43,13.42,8.71,398.0,0.281,31.7,92.1,26.94,1.08,104.1,0.123,1,0.546,Unhealthy
148,28.97,5.26,7.49,16.85,13.55,483.1,0.799,35.73,54.8,24.87,5.62,109.1,0.246,4,1.0,Unhealthy
149,30.02,4.43,7.38,9.86,12.07,482.4,0.782,26.99,132.0,36.96,5.94,99.4,0.381,2,1.0,Unhealthy
150,29.95,3.73,7.24,28.86,16.54,483.3,0.685,15.64,143.0,49.69,8.4,86.5,0.588,1,1.0,Unhealthy
151,27.86,6.06,7.61,1.83,3.83,481.1,0.032,14.62,157.1,21.07,5.04,120.8,0.747,0,0.089,Healthy
152,30.08,6.0,7.58,2.81,3.56,394.6,0.033,14.8,92.0,24.56,5.59,105.2,0.678,0,0.102,Healthy
153,28.54,7.33,7.22,2.16,3.37,484.4,0.047,21.01,91.1,18.53,4.22,103.3,1.0,0,0.103,Healthy
154,26.48,5.77,7.81,1.91,3.02,414.6,0.031,38.42,92.2,6.52,1.05,113.5,0.873,0,0.097,Healthy
155,29.64,6.92,7.03,3.36,3.84,419.7,0.02,19.09,108.2,16.3,2.89,41.2,0.85,0,0.112,Healthy
156,26.65,6.49,7.08,4.3,5.53,521.8,0.025,16.24,105.8,13.32,9.51,84.1,0.781,0,0.127,Healthy
157,28.45,5.6,7.5,3.5,4.91,353.9,0.035,36.55,111.9,5.0,5.5,103.9,0.997,0,0.071,Healthy
158,30.57,6.96,7.78,4.28,3.59,532.1,0.03,20.33,60.4,22.4,6.7,110.5,0.673,0,0.13,Healthy
159,30.83,5.81,7.75,2.31,3.6,519.5,0.026,26.43,95.6,28.86,7.58,110.9,0.758,0,0.1,Healthy
160,28.63,5.42,8.07,2.68,3.88,394.3,0.0,28.85,66.6,19.12,1.72,120.0,0.693,0,0.108,Healthy
161,28.38,6.45,7.54,5.12,3.44,474.5,0.063,26.07,81.2,26.03,7.24,95.7,0.708,0,0.15,Healthy
162,28.82,6.41,7.63,2.2,3.72,608.1,0.004,28.15,84.6,12.8,6.69,83.0,0.577,0,0.076,Healthy
163,26.23,7.82,7.45,2.82,5.76,594.5,0.014,18.34,98.8,10.6,2.35,82.1,0.731,0,0.071,Healthy
164,32.1,5.42,6.56,2.98,5.01,463.9,0.016,29.33,122.4,15.23,4.43,80.2,0.777,0,0.158,Healthy
165,27.83,6.06,7.12,2.64,4.68,290.7,0.003,41.57,123.5,16.66,8.19,111.8,0.68,0,0.094,Healthy
166,31.16,7.29,7.41,3.36,4.78,500.1,0.0,14.48,77.7,23.61,4.91,80.8,0.912,0,0.043,Healthy
167,28.83,8.26,7.33,2.27,5.4,341.5,0.016,15.04,110.2,10.37,8.24,90.1,0.682,0,0.087,Healthy
168,30.84,6.84,7.83,2.54,4.15,550.2,0.038,34.01,61.2,28.67,7.69,77.4,0.751,0,0.124,Healthy
169,31.88,6.73,7.33,3.27,6.12,379.2,0.042,24.71,73.8,24.21,4.81,125.2,0.62,0,0.133,Healthy
170,30.12,6.99,7.77,3.29,4.85,542.2,0.052,30.29,121.8,12.66,4.97,106.2,0.762,0,0.141,Healthy
171,32.34,6.09,7.41,2.96,3.4,491.7,0.016,21.04,72.0,28.32,8.06,47.0,0.871,0,0.065,Healthy
172,27.98,5.92,7.8,5.66,3.89,442.9,0.001,28.12,92.8,10.15,9.34,89.0,0.576,0,0.115,Healthy
173,30.09,7.85,7.95,1.88,3.18,373.5,0.028,19.5,96.2,9.67,5.7,74.9,0.561,0,0.137,Healthy
174,27.7,6.26,7.82,4.03,4.15,366.8,0.028,25.31,86.2,22.54,4.0,130.4,0.719,0,0.126,Healthy
175,27.18,7.76,7.7,4.03,3.29,448.9,0.019,5.05,137.9,9.63,8.62,127.1,0.648,0,0.11,Healthy
176,28.29,6.87,7.42,1.66,4.78,358.2,0.011,15.07,119.8,16.62,6.8,115.4,0.825,0,0.052,Healthy
177,27.62,5.96,7.11,2.18,2.96,541.0,0.0,18.85,134.2,11.89,3.7,121.7,0.774,0,0.078,Healthy
178,27.74,5.59,7.86,1.85,4.84,420.9,0.032,17.85,76.7,27.99,3.82,91.6,0.652,0,0.124,Healthy
179,29.65,5.52,7.71,1.56,6.34,472.3,0.027,33.53,118.5,16.83,0.94,115.8,0.887,0,0.078,Healthy
180,28.16,5.57,7.13,1.06,4.92,375.5,0.012,20.46,63.7,20.73,3.27,96.7,0.762,0,0.083,Healthy
181,28.15,6.24,7.71,1.65,4.14,423.0,0.011,24.98,93.1,15.72,1.09,139.5,0.683,0,0.079,Healthy
182,28.44,7.37,7.42,1.5,4.55,424.3,0.059,36.36,89.4,22.97,8.86,119.6,0.862,0,0.107,Healthy
183,27.61,5.78,7.72,1.93,2.89,516.6,0.044,21.74,123.5,20.81,7.57,120.9,0.617,0,0.131,Healthy
184,31.63,6.13,7.58,2.9,4.53,431.3,0.034,26.16,99.2,9.58,7.55,95.7,0.743,0,0.098,Healthy
185,30.81,6.09,7.14,3.33,3.8,517.0,0.043,22.32,84.2,26.21,3.89,104.9,0.617,0,0.153,Healthy
186,30.91,7.79,7.62,4.42,4.55,382.1,0.04,27.51,105.9,24.39,4.67,57.3,0.53,0,0.142,Healthy
187,27.54,5.85,7.64,0.1,4.37,461.4,0.036,22.15,126.5,15.88,4.93,118.4,0.945,0,0.065,Healthy
188,28.05,6.7,7.66,4.64,4.76,365.7,0.038,20.83,116.6,13.54,3.86,102.2,0.891,0,0.109,Healthy
189,28.41,5.45,7.06,1.71,3.98,516.7,0.042,29.28,71.5,11.37,6.67,122.7,0.767,0,0.133,Healthy
190,28.57,6.81,7.71,2.89,2.4,332.5,0.0,20.0,68.9,22.53,9.4,108.7,0.603,0,0.082,Healthy
191,27.9,7.77,7.37,0.88,2.61,547.2,0.021,19.94,108.4,24.77,6.19,92.3,0.704,0,0.075,Healthy
192,27.91,7.2,7.46,2.73,4.33,425.9,0.016,23.77,82.5,23.83,6.02,90.1,0.796,0,0.065,Healthy
193,30.26,6.77,7.79,3.69,2.38,428.1,0.031,30.12,50.0,23.12,7.14,74.4,0.751,0,0.12,Healthy
194,29.4,7.02,7.33,1.4,3.77,408.9,0.001,27.93,138.7,15.95,6.0,62.1,0.61,0,0.068,Healthy
195,30.08,6.35,7.86,2.6,4.87,446.0,0.012,19.07,139.8,12.22,9.49,56.6,0.602,0,0.111,Healthy
196,30.37,6.9,8.09,2.26,2.99,402.1,0.034,21.83,123.3,25.44,5.96,97.4,0.695,0,0.149,Healthy
197,27.47,7.6,7.26,2.45,2.53,409.1,0.021,41.21,119.7,21.74,6.45,117.0,0.763,0,0.092,Healthy
198,26.88,7.22,7.43,2.28,4.54,613.7,0.062,36.52,109.1,28.29,5.36,109.0,0.645,0,0.137,Healthy
199,30.94,7.02,7.35,2.53,3.03,364.2,0.405,42.83,109.0,22.96,8.06,91.5,0.812,4,0.56,Unhealthy
200,29.38,6.05,7.43,1.89,3.61,455.5,0.177,20.12,93.8,24.23,2.61,78.2,0.493,0,0.292,Healthy
201,30.69,6.04,7.55,3.37,3.47,381.1,0.732,35.13,115.9,19.26,4.12,133.0,0.544,4,0.991,Unhealthy
202,28.15,5.9,7.71,1.94,4.23,426.5,0.2,21.94,59.5,25.02,5.23,93.8,0.513,0,0.334,Healthy
203,29.46,7.36,7.43,2.7,3.62,438.7,0.408,10.9,78.3,13.51,2.38,119.4,0.701,4,0.566,Unhealthy
204,28.13,6.0,7.79,4.71,4.25,441.1,0.127,29.77,98.9,20.26,7.48,119.5,0.305,0,0.293,Healthy
205,27.25,8.0,7.47,3.15,1.39,330.1,0.012,34.61,43.9,25.06,7.83,44.3,0.842,0,0.057,Healthy
206,27.76,7.51,7.48,2.6,2.99,497.6,0.036,26.23,136.7,10.91,5.08,94.5,0.701,0,0.096,Healthy
207,25.03,6.75,7.53,5.22,3.87,415.6,0.024,19.98,113.4,12.13,7.41,84.4,0.61,0,0.111,Healthy
208,28.77,6.59,7.77,3.88,4.31,368.3,0.068,12.81,85.3,25.78,6.15,93.3,0.578,0,0.183,Healthy
209,27.87,6.7,7.61,5.91,5.18,613.1,0.035,33.05,120.0,11.1,7.4,65.2,0.777,0,0.121,Healthy
210,28.8,5.38,7.51,2.9,5.06,437.5,0.034,28.69,129.2,10.97,8.83,134.3,0.773,0,0.088,Healthy
211,31.19,5.96,7.41,3.31,5.23,439.0,0.056,19.34,107.2,10.03,4.6,104.2,0.886,0,0.115,Healthy
212,29.91,6.05,7.51,2.9,2.92,325.0,0.059,20.5,93.8,30.71,5.4,108.5,0.57,0,0.14,Healthy
